sub_id_6,sub_id_5,sub_id_2,sub_id_3,day,clicks,lp_clicks,lp_ctr,cr,cost,campaign_unique_clicks,conversions,roi_confirmed,revenue,profit,revenue_to_cost_ratio,conversion_rate,profit_margin,cluster,recommendation,reason,priority
25-07-2025 - US - Aldi - Creative 2,MV25-64 - Adset 5,120229247264600075,120229247263580075,2025-07-29,34,19,55.88,0.0,7.7,28,0,-100.0,0.0,-7.7,0.0,0.0,-0.999999870129887,-1,PAUSE,Outlier with poor performance - pause campaign,1
28-07-2025 - DE - Barilla - Creative 4,MV25-64 - Adset 1,120230432605990235,120230432605820235,2025-07-29,22,13,59.09,0.0,7.77,18,0,-100.0,0.0,-7.77,0.0,0.0,-0.9999998712998879,-1,PAUSE,Outlier with poor performance - pause campaign,1
28-07-2025 - DE - Rituals - Creative 1,25-64 - Adset 1,120231063610120045,120231063609690045,2025-07-29,10,3,30.0,0.0,7.11,9,0,-100.0,0.0,-7.11,0.0,0.0,-0.9999998593530437,-1,PAUSE,Outlier with poor performance - pause campaign,1
28-07-2025 - DE - Rituals - Creative 3,25-64 - Adset 1,120231063609870045,120231063610380045,2025-07-29,11,6,54.55,0.0,6.96,11,0,-100.0,0.0,-6.96,0.0,0.0,-0.9999998563218597,-1,PAUSE,Outlier with poor performance - pause campaign,1
28-07-2025 - DE - Barilla - Creative 1,MV25-64 - Adset 1,120230432606780235,120230432605770235,2025-07-29,25,12,48.0,16.0,7.11,22,4,153.16,18.0,10.89,2.531645213552009,0.15999999360000025,1.5316453541989656,-1,INCREASE_BUDGET,Good ROI (>100%) - increase budget by 50%,2
23-07-2025 - DE - Xiaomi - Creative 2,Adset #5,120229974881440210,120229974586200210,2025-07-29,26,20,76.92,19.23,8.54,25,5,151.76,21.5,12.96,2.517564108013571,0.1923076849112429,1.517564225109576,-1,INCREASE_BUDGET,Good ROI (>100%) - increase budget by 50%,2
23-07-2025 - DE - Xiaomi - Creative 3,Adset #1,120229974925460210,120229974918480210,2025-07-29,30,22,73.33,16.67,10.16,28,5,111.61,21.5,11.34,2.1161415240018187,0.16666666111111128,1.1161416224270058,-1,INCREASE_BUDGET,Good ROI (>100%) - increase budget by 50%,2
28-07-2025 - DE - Rituals - Creative 4,25-64 - Adset 1,120231063611210045,120231063611050045,2025-07-29,16,5,31.25,18.75,7.01,14,3,84.02,12.9,5.89,1.8402279828490753,0.18749998828125072,0.8402281255024072,-1,INCREASE_BUDGET,Positive ROI - increase budget moderately (20%),2
23-07-2025 - DE - Makita - Man - Creative 1,Adset #2,120227403387550519,120227403362470519,2025-07-29,44,25,56.82,13.64,14.28,40,6,83.47,26.2,11.92,1.8347337650746665,0.13636363326446288,0.8347338351026727,-1,INCREASE_BUDGET,Positive ROI - increase budget moderately (20%),2
23-07-2025 - DE - Makita - Man - Creative 4,Adset #4,120227404131140519,120227403910460519,2025-07-29,24,15,62.5,12.5,7.5,20,3,74.67,13.1,5.6,1.7466664337778088,0.12499999479166687,0.7466665671111243,-1,INCREASE_BUDGET,Positive ROI - increase budget moderately (20%),2
23-07-2025 - UK - Lenor - Woman - Creative 2,Adset #5,120231940067790400,120231939970540400,2025-07-29,25,18,72.0,20.0,6.2,24,5,52.87,9.48,3.28,1.5290320114464497,0.19999999200000032,0.5290321727367463,-1,INCREASE_BUDGET,Positive ROI - increase budget moderately (20%),2
23-07-2025 - DE - Xiaomi - Creative 5,Adset #4,120229975648860210,120229975531080210,2025-07-29,16,8,50.0,12.5,5.66,14,2,51.94,8.6,2.94,1.5194343605239644,0.12499999218750048,0.5194345372023785,-1,INCREASE_BUDGET,Positive ROI - increase budget moderately (20%),2
04-06-2025 - UK - Dove - Overlay - Creative 2,Adset #5,120228519116110400,120228518992860400,2025-07-29,107,65,60.75,10.28,15.74,89,11,32.49,20.85,5.11,1.324650487633387,0.10280373735697441,0.32465055116578456,-1,INCREASE_BUDGET,Positive ROI - increase budget moderately (20%),2
