sub_id_6,sub_id_5,sub_id_2,sub_id_3,day,clicks,lp_clicks,lp_ctr,cr,cost,campaign_unique_clicks,conversions,roi_confirmed,revenue,profit
04-06-2025 - UK - Dove - Overlay - Creative 2,Adset #5,120228519116110400,120228518992860400,2025-07-29,70,44,62.86,14.29,9.58,58,10,97.88,18.96,9.38
04-07-2025 - SE - Marabou - UGC - Creative 1,Adset #3,120230366639690295,120230366614230295,2025-07-29,3,2,66.67,0.0,1.71,3,0,-100.0,0.0,-1.71
04-07-2025 - SE - Marabou - UGC - Creative 1,Adset #4,120230366654110295,120230366614230295,2025-07-29,17,9,52.94,5.88,4.81,16,1,-27.23,3.5,-1.31
04-07-2025 - SE - Marabou - UGC - Creative 1,Adset #5,120230366680140295,120230366614230295,2025-07-29,29,11,37.93,6.9,8.52,28,2,-17.84,7.0,-1.52
07-07-2025 - US - Aldi - Creative 10,Adset #3,120227961727090075,120227961675480075,2025-07-29,145,100,68.97,6.9,34.46,127,10,-0.07,34.43,-0.03
07-07-2025 - US - Aldi - Creative 2,Adset #5,120227960912670075,120227960801870075,2025-07-29,42,30,71.43,7.14,7.88,40,3,31.14,10.33,2.45
21-07-2025 - SE - Milwaukee - Man - 55-64 - Creative 1,Adset #1,120230253912550153,120230253910630153,2025-07-29,55,27,49.09,12.73,15.81,51,7,19.54,18.9,3.09
22-07-2025 - SE - Marabou - Woman - 35-45 - Creative 1,Adset #1,120231357227450295,120231357224920295,2025-07-29,39,15,38.46,2.56,11.63,38,1,-69.91,3.5,-8.13
22-07-2025 - SE - Marabou - Woman - 45-55 - Creative 5,Adset #1,120231357665330295,120231357664690295,2025-07-29,40,22,55.0,10.0,10.58,38,4,32.33,14.0,3.42
22-07-2025 - SE - Marabou - Woman - 55-64 - Creative 1,Adset #1,120231357686190295,120231357685360295,2025-07-29,12,1,8.33,8.33,3.5,12,1,0.0,3.5,0.0
23-07-2025 - DE - Makita - Man - Creative 1,Adset #1,120227403362750519,120227403362470519,2025-07-29,1,1,100.0,0.0,0.18,1,0,-100.0,0.0,-0.18
23-07-2025 - DE - Makita - Man - Creative 1,Adset #2,120227403387550519,120227403362470519,2025-07-29,26,14,53.85,7.69,8.58,23,2,2.56,8.8,0.22
23-07-2025 - DE - Makita - Man - Creative 1,Adset #3,120227403416390519,120227403362470519,2025-07-29,3,2,66.67,0.0,0.33,2,0,-100.0,0.0,-0.33
23-07-2025 - DE - Makita - Man - Creative 1,Adset #4,120227403451780519,120227403362470519,2025-07-29,22,16,72.73,0.0,9.21,20,0,-100.0,0.0,-9.21
23-07-2025 - DE - Makita - Man - Creative 1,Adset #5,120227403475770519,120227403362470519,2025-07-29,13,10,76.92,0.0,4.15,10,0,-100.0,0.0,-4.15
23-07-2025 - DE - Makita - Man - Creative 2,Adset #4,120227403688350519,120227403522120519,2025-07-29,12,11,91.67,8.33,4.99,11,1,-13.83,4.3,-0.69
23-07-2025 - DE - Makita - Man - Creative 3,Adset #2,120227403756860519,120227403731420519,2025-07-29,2,0,0.0,0.0,0.96,1,0,-100.0,0.0,-0.96
23-07-2025 - DE - Makita - Man - Creative 3,Adset #5,120227403860350519,120227403731420519,2025-07-29,14,10,71.43,7.14,4.55,14,1,-5.49,4.3,-0.25
23-07-2025 - DE - Makita - Man - Creative 4,Adset #1,120227403912540519,120227403910460519,2025-07-29,3,2,66.67,0.0,0.87,3,0,-100.0,0.0,-0.87
23-07-2025 - DE - Makita - Man - Creative 4,Adset #4,120227404131140519,120227403910460519,2025-07-29,18,12,66.67,11.11,5.32,14,2,61.65,8.6,3.28
23-07-2025 - DE - Makita - Photo - Creative 3,Adset #2,120227446597880519,120227446586830519,2025-07-29,10,6,60.0,10.0,4.37,10,1,-1.6,4.3,-0.07
23-07-2025 - DE - Xiaomi - Creative 1,Adset #3,120229974485210210,120229974433090210,2025-07-29,13,10,76.92,15.38,5.59,12,2,53.85,8.6,3.01
23-07-2025 - DE - Xiaomi - Creative 2,Adset #5,120229974881440210,120229974586200210,2025-07-29,14,11,78.57,28.57,4.99,14,4,244.69,17.2,12.21
23-07-2025 - DE - Xiaomi - Creative 3,Adset #1,120229974925460210,120229974918480210,2025-07-29,24,17,70.83,16.67,7.88,22,4,118.27,17.2,9.32
23-07-2025 - DE - Xiaomi - Creative 4,Adset #1,120229975176080210,120229975174200210,2025-07-29,27,19,70.37,3.7,4.96,24,1,-13.31,4.3,-0.66
23-07-2025 - DE - Xiaomi - Creative 5,Adset #4,120229975648860210,120229975531080210,2025-07-29,5,2,40.0,0.0,1.13,5,0,-100.0,0.0,-1.13
23-07-2025 - UK - Lenor - Woman - Creative 2,Adset #1,120231939971840400,120231939970540400,2025-07-29,3,3,100.0,33.33,0.83,3,1,128.6,1.9,1.07
